Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Philipp Diethelm,CYCLING,13.01.2023,11:40:07,01:53:42,,145,,,,,1155,39,58,3,77,,,,,,206,908,,,,196,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,98,,,56,636,,0.00,25.1,88,
,00:00:01,99,,,56,636,,0.00,25.1,88,
,00:00:02,99,,,52,636,,0.00,25.1,90,
,00:00:03,101,,,55,636,,0.00,25.1,92,
,00:00:04,102,,,57,636,,0.00,25.0,98,
,00:00:05,103,,,58,636,,0.00,25.0,96,
,00:00:06,104,,,58,636,,0.00,25.0,94,
,00:00:07,105,,,59,636,,0.00,25.0,98,
,00:00:08,105,,,59,636,,0.00,25.0,98,
,00:00:09,105,,,60,636,,0.00,25.0,98,
,00:00:10,103,,,60,636,,0.00,25.0,90,
,00:00:11,102,,,60,636,,0.00,25.0,100,
,00:00:12,102,,,61,636,,0.00,25.0,90,
,00:00:13,102,,,61,636,,0.00,25.0,92,
,00:00:14,103,,,61,636,,0.00,25.0,98,
,00:00:15,104,,,61,636,,0.00,25.0,90,
,00:00:16,105,,,61,636,,0.00,25.0,94,
,00:00:17,105,,,61,636,,0.00,25.0,94,
,00:00:18,105,,,61,636,,0.00,25.0,100,
,00:00:19,106,,,61,636,,0.00,25.0,102,
,00:00:20,106,,,62,636,,0.00,25.0,92,
,00:00:21,106,,,62,636,,0.00,25.0,92,
,00:00:22,106,,,62,636,,0.00,25.0,94,
,00:00:23,107,,,62,636,,0.00,25.0,94,
,00:00:24,107,,,62,636,,0.00,25.0,110,
,00:00:25,108,,,62,636,,0.00,25.0,114,
,00:00:26,108,,,63,636,,0.00,25.0,102,
,00:00:27,108,,,63,636,,0.00,25.0,106,
,00:00:28,109,,,63,636,,0.00,25.0,110,
,00:00:29,109,,,64,636,,0.00,25.0,100,
,00:00:30,109,,,64,636,,0.00,25.0,100,
,00:00:31,109,,,64,636,,0.00,25.0,106,
,00:00:32,109,,,64,636,,0.00,25.0,114,
,00:00:33,109,,,65,636,,0.00,25.0,114,
,00:00:34,110,,,65,636,,0.00,25.0,118,
,00:00:35,110,,,65,636,,0.00,25.0,118,
,00:00:36,110,,,66,636,,0.00,25.0,124,
,00:00:37,110,,,66,635,,0.00,25.0,120,
,00:00:38,111,,,67,635,,0.00,25.0,118,
,00:00:39,111,,,67,635,,0.00,25.0,116,
,00:00:40,112,,,68,635,,0.00,25.0,120,
,00:00:41,112,,,68,635,,0.00,25.0,118,
,00:00:42,113,,,68,635,,0.00,25.0,110,
,00:00:43,113,,,69,635,,0.00,25.0,108,
,00:00:44,113,,,69,635,,0.00,25.0,124,
,00:00:45,113,,,69,635,,0.00,25.0,114,
,00:00:46,113,,,69,635,,0.00,25.0,112,
,00:00:47,113,,,69,635,,0.00,25.0,110,
,00:00:48,113,,,69,635,,0.00,25.0,110,
,00:00:49,113,,,69,635,,0.00,25.0,110,
,00:00:50,113,,,69,635,,0.00,25.0,110,
,00:00:51,113,,,68,635,,0.00,25.0,106,
,00:00:52,114,,,68,635,,0.00,25.0,116,
,00:00:53,114,,,68,635,,0.00,25.0,108,
,00:00:54,114,,,68,635,,0.00,25.0,108,
,00:00:55,115,,,68,635,,0.00,25.0,116,
,00:00:56,115,,,68,635,,0.00,25.0,112,
,00:00:57,115,,,68,635,,0.00,25.0,122,
,00:00:58,114,,,68,635,,0.00,25.0,96,
,00:00:59,113,,,68,635,,0.00,25.0,104,
,00:01:00,113,,,68,635,,0.00,25.0,86,
,00:01:01,113,,,67,635,,0.00,25.0,82,
,00:01:02,114,,,67,635,,0.00,25.0,94,
,00:01:03,114,,,66,635,,0.00,25.0,84,
,00:01:04,115,,,65,635,,0.00,25.0,98,
,00:01:05,116,,,65,635,,0.00,25.0,114,
,00:01:06,116,,,65,635,,0.00,25.0,102,
,00:01:07,117,,,65,635,,0.00,25.0,100,
,00:01:08,117,,,65,635,,0.00,25.0,98,
,00:01:09,118,,,65,635,,0.00,25.0,96,
,00:01:10,118,,,65,635,,0.00,25.0,98,
,00:01:11,118,,,65,635,,0.00,25.0,100,
,00:01:12,118,,,65,635,,0.00,25.0,98,
,00:01:13,117,,,64,635,,0.00,25.0,100,
,00:01:14,116,,,64,635,,0.00,24.9,100,
,00:01:15,115,,,64,635,,0.00,24.9,98,
,00:01:16,114,,,64,635,,0.00,24.9,102,
,00:01:17,113,,,64,635,,0.00,24.9,106,
,00:01:18,112,,,64,635,,0.00,24.9,104,
,00:01:19,111,,,64,635,,0.00,24.9,108,
,00:01:20,110,,,65,635,,0.00,24.9,112,
,00:01:21,110,,,65,635,,0.00,24.9,112,
,00:01:22,109,,,65,635,,0.00,24.9,110,
,00:01:23,109,,,65,635,,0.00,24.9,106,
,00:01:24,108,,,65,635,,0.00,24.9,106,
,00:01:25,108,,,65,635,,0.00,24.9,102,
,00:01:26,108,,,66,635,,0.00,24.9,100,
,00:01:27,108,,,65,635,,0.00,24.9,96,
,00:01:28,108,,,65,635,,0.00,24.9,108,
,00:01:29,109,,,65,635,,0.00,24.9,94,
,00:01:30,109,,,65,635,,0.00,24.9,94,
,00:01:31,110,,,65,635,,0.00,24.9,104,
,00:01:32,110,,,65,635,,0.00,24.9,104,
,00:01:33,111,,,65,635,,0.00,24.9,112,
,00:01:34,111,,,65,635,,0.00,24.9,100,
,00:01:35,112,,,65,635,,0.00,24.9,100,
,00:01:36,112,,,65,635,,0.00,24.9,102,
,00:01:37,112,,,65,635,,0.00,24.9,102,
,00:01:38,112,,,65,635,,0.00,24.9,108,
,00:01:39,113,,,65,636,,0.00,24.9,106,
,00:01:40,112,,,65,636,,0.00,24.9,100,
,00:01:41,112,,,65,636,,0.00,24.9,98,
,00:01:42,113,,,65,636,,0.00,24.9,98,
,00:01:43,113,,,65,636,,0.00,24.9,94,
,00:01:44,113,,,65,636,,0.00,24.9,100,
,00:01:45,113,,,64,636,,0.00,24.9,94,
,00:01:46,112,,,64,636,,0.00,24.9,110,
,00:01:47,112,,,64,636,,0.00,24.9,110,
,00:01:48,112,,,65,636,,0.00,24.9,102,
,00:01:49,111,,,65,636,,0.00,24.9,102,
,00:01:50,111,,,65,636,,0.00,24.9,94,
,00:01:51,111,,,65,636,,0.00,24.9,98,
,00:01:52,111,,,64,636,,0.00,24.9,98,
,00:01:53,111,,,64,636,,0.00,24.9,106,
,00:01:54,110,,,64,636,,0.00,24.9,104,
,00:01:55,110,,,64,636,,0.00,24.9,104,
,00:01:56,109,,,64,636,,0.00,24.9,98,
,00:01:57,109,,,64,636,,0.00,24.9,94,
,00:01:58,109,,,64,636,,0.00,24.9,100,
,00:01:59,109,,,64,636,,0.00,24.9,102,
,00:02:00,109,,,64,636,,0.00,24.9,100,
,00:02:01,110,,,64,636,,0.00,24.9,104,
,00:02:02,110,,,64,636,,0.00,24.9,96,
,00:02:03,110,,,64,636,,0.00,24.9,98,
,00:02:04,110,,,64,636,,0.00,24.9,100,
,00:02:05,110,,,64,636,,0.00,24.9,102,
,00:02:06,110,,,64,636,,0.00,24.9,94,
,00:02:07,109,,,64,636,,0.00,24.9,92,
,00:02:08,109,,,64,636,,0.00,24.9,90,
,00:02:09,109,,,63,636,,0.00,24.9,90,
,00:02:10,109,,,63,636,,0.00,24.9,96,
,00:02:11,109,,,63,636,,0.00,24.9,100,
,00:02:12,109,,,63,636,,0.00,24.9,92,
,00:02:13,109,,,63,636,,0.00,24.9,92,
,00:02:14,109,,,62,636,,0.00,24.9,86,
,00:02:15,109,,,62,636,,0.00,24.9,84,
,00:02:16,109,,,62,636,,0.00,24.8,92,
,00:02:17,109,,,61,636,,0.00,24.9,92,
,00:02:18,109,,,61,636,,0.00,24.8,90,
,00:02:19,109,,,61,636,,0.00,24.8,92,
,00:02:20,108,,,61,636,,0.00,24.8,86,
,00:02:21,108,,,61,636,,0.00,24.8,98,
,00:02:22,109,,,61,636,,0.00,24.8,92,
,00:02:23,109,,,61,636,,0.00,24.8,90,
,00:02:24,109,,,61,636,,0.00,24.8,86,
,00:02:25,109,,,61,636,,0.00,24.8,84,
,00:02:26,109,,,61,636,,0.00,24.8,86,
,00:02:27,109,,,60,636,,0.00,24.8,82,
,00:02:28,109,,,60,636,,0.00,24.8,94,
,00:02:29,109,,,60,636,,0.00,24.8,86,
,00:02:30,108,,,60,636,,0.00,24.8,90,
,00:02:31,108,,,60,636,,0.00,24.8,98,
,00:02:32,108,,,60,636,,0.00,24.8,94,
,00:02:33,108,,,60,636,,0.00,24.8,82,
,00:02:34,109,,,60,636,,0.00,24.8,86,
,00:02:35,109,,,60,636,,0.00,24.8,88,
,00:02:36,109,,,60,636,,0.00,24.8,94,
,00:02:37,109,,,60,636,,0.00,24.8,100,
,00:02:38,109,,,60,636,,0.00,24.8,100,
,00:02:39,108,,,60,636,,0.00,24.8,100,
,00:02:40,107,,,61,636,,0.00,24.8,98,
,00:02:41,107,,,61,636,,0.00,24.8,100,
,00:02:42,107,,,61,636,,0.00,24.8,110,
,00:02:43,107,,,62,636,,0.00,24.8,98,
,00:02:44,107,,,62,636,,0.00,24.8,92,
,00:02:45,108,,,62,636,,0.00,24.8,90,
,00:02:46,108,,,62,636,,0.00,24.8,90,
,00:02:47,109,,,62,636,,0.00,24.8,90,
,00:02:48,109,,,62,636,,0.00,24.8,92,
,00:02:49,108,,,62,636,,0.00,24.8,94,
,00:02:50,108,,,62,636,,0.00,24.8,100,
,00:02:51,108,,,62,636,,0.00,24.8,94,
,00:02:52,108,,,62,636,,0.00,24.8,106,
,00:02:53,108,,,62,636,,0.00,24.8,108,
,00:02:54,108,,,62,636,,0.00,24.8,88,
,00:02:55,109,,,62,636,,0.00,24.7,80,
,00:02:56,110,,,62,636,,0.00,24.7,110,
,00:02:57,111,,,63,636,,0.00,24.7,104,
,00:02:58,112,,,63,636,,0.00,24.7,100,
,00:02:59,113,,,63,636,,0.00,24.7,102,
,00:03:00,113,,,63,636,,0.00,24.7,110,
,00:03:01,113,,,63,636,,0.00,24.7,108,
,00:03:02,113,,,64,636,,0.00,24.7,106,
,00:03:03,114,,,64,636,,0.00,24.7,108,
,00:03:04,114,,,64,636,,0.00,24.7,104,
,00:03:05,114,,,64,636,,0.00,24.7,100,
,00:03:06,114,,,64,636,,0.00,24.7,106,
,00:03:07,114,,,65,636,,0.00,24.7,104,
,00:03:08,114,,,65,636,,0.00,24.7,110,
,00:03:09,113,,,65,636,,0.00,24.7,106,
,00:03:10,113,,,65,636,,0.00,24.7,114,
,00:03:11,113,,,66,636,,0.00,24.7,118,
,00:03:12,113,,,66,636,,0.00,24.7,126,
,00:03:13,112,,,66,636,,0.00,24.7,128,
,00:03:14,113,,,67,636,,0.00,24.6,120,
,00:03:15,113,,,68,636,,0.00,24.6,152,
,00:03:16,113,,,81,636,,0.00,24.6,160,
,00:03:17,113,,,86,636,,0.00,24.6,152,
,00:03:18,114,,,84,636,,0.00,24.6,148,
,00:03:19,114,,,83,636,,0.00,24.6,136,
,00:03:20,115,,,83,636,,0.00,24.6,130,
,00:03:21,117,,,83,636,,0.00,24.6,128,
,00:03:22,118,,,83,636,,0.00,24.6,128,
,00:03:23,119,,,83,636,,0.00,24.6,120,
,00:03:24,120,,,83,636,,0.00,24.6,134,
,00:03:25,120,,,83,636,,0.00,24.6,120,
,00:03:26,122,,,84,636,,0.00,24.6,130,
,00:03:27,123,,,84,636,,0.00,24.6,112,
,00:03:28,123,,,83,636,,0.00,24.6,22,
,00:03:29,124,,,91,636,,0.00,24.6,98,
,00:03:30,125,,,92,636,,0.00,24.6,128,
,00:03:31,126,,,89,636,,0.00,24.6,154,
,00:03:32,126,,,87,636,,0.00,24.6,150,
,00:03:33,127,,,87,636,,0.00,24.6,136,
,00:03:34,127,,,87,636,,0.00,24.6,132,
,00:03:35,127,,,87,636,,0.00,24.6,100,
,00:03:36,127,,,87,636,,0.00,24.6,114,
,00:03:37,128,,,87,636,,0.00,24.6,128,
,00:03:38,128,,,87,636,,0.00,24.6,146,
,00:03:39,128,,,88,636,,0.00,24.6,114,
,00:03:40,128,,,89,636,,0.00,24.6,108,
,00:03:41,128,,,88,636,,0.00,24.6,106,
,00:03:42,128,,,88,636,,0.00,24.6,106,
,00:03:43,128,,,87,636,,0.00,24.6,106,
,00:03:44,128,,,87,636,,0.00,24.6,116,
,00:03:45,128,,,87,636,,0.00,24.6,112,
,00:03:46,128,,,87,636,,0.00,24.6,116,
,00:03:47,128,,,87,636,,0.00,24.6,112,
,00:03:48,127,,,87,636,,0.00,24.6,116,
,00:03:49,126,,,87,636,,0.00,24.6,118,
,00:03:50,126,,,87,636,,0.00,24.6,118,
,00:03:51,125,,,87,636,,0.00,24.6,120,
,00:03:52,124,,,87,636,,0.00,24.6,122,
,00:03:53,123,,,87,636,,0.00,24.6,116,
,00:03:54,123,,,87,636,,0.00,24.6,118,
,00:03:55,123,,,87,636,,0.00,24.6,116,
,00:03:56,122,,,87,636,,0.00,24.6,114,
,00:03:57,122,,,86,636,,0.00,24.6,120,
,00:03:58,121,,,86,636,,0.00,24.6,120,
,00:03:59,121,,,87,636,,0.00,24.6,124,
,00:04:00,121,,,87,636,,0.00,24.6,126,
,00:04:01,120,,,87,636,,0.00,24.6,124,
,00:04:02,120,,,87,636,,0.00,24.6,122,
,00:04:03,120,,,87,636,,0.00,24.6,118,
,00:04:04,120,,,87,636,,0.00,24.6,128,
,00:04:05,120,,,87,636,,0.00,24.6,126,
,00:04:06,121,,,88,636,,0.00,24.6,120,
,00:04:07,121,,,88,636,,0.00,24.6,120,
,00:04:08,121,,,88,636,,0.00,24.6,134,
,00:04:09,121,,,88,636,,0.00,24.6,124,
,00:04:10,121,,,88,636,,0.00,24.6,130,
